username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SirJadeja;2015-12-02 01:09;24;10;"#ICanAccommodate #chennairains #ChennaiFloods https:// twitter.com/venkatluvvy92/ status/671771248435798016 …";;;#ICanAccommodate #chennairains #ChennaiFloods;"671775692539994115";https://twitter.com/SirJadeja/status/671775692539994115
SirJadeja;2015-12-02 01:11;15;7;"#ICanAccommodate #chennairains #ChennaiFloods https:// twitter.com/lakshgiri/stat us/671774419140898816 …";;;#ICanAccommodate #chennairains #ChennaiFloods;"671776057121480706";https://twitter.com/SirJadeja/status/671776057121480706
Mayankaryan084;2015-11-21 23:24;49;17;"First time in history tirupati balaji temple is closed for Darsham......due to #ChennaiFloods pic.twitter.com/bv0sOJMuOb";;;#ChennaiFloods;"668125434760921088";https://twitter.com/Mayankaryan084/status/668125434760921088
SirJadeja;2015-12-02 01:11;28;9;"#ICanAccommodate #chennairains #ChennaiFloods https:// twitter.com/Kabali_Rajini/ status/671768415539884032 …";;;#ICanAccommodate #chennairains #ChennaiFloods;"671776149752647680";https://twitter.com/SirJadeja/status/671776149752647680
deeepakkher;2015-12-02 05:29;0;0;"#ChennaiFloods havoc caused by incessant rains and the flooding as a result, continues to cause misery to the city. sympathise with citizens";Pune, India;;#ChennaiFloods;"671841135778598914";https://twitter.com/deeepakkher/status/671841135778598914
sreeni94;2015-12-02 05:29;9;0;"Blankets....Bread.. Biscuits PL Share #ChennaiFloods #chennairainshelp #chennairains pic.twitter.com/YqgKUwXmtg";;;#ChennaiFloods #chennairainshelp #chennairains;"671841120574312448";https://twitter.com/sreeni94/status/671841120574312448
sreeni94;2015-12-02 05:28;4;0;"PLease Share #ChennaiFloods #chennairainshelp #chennairains https:// twitter.com/SoBadRa/status /671747826733355008 …";;;#ChennaiFloods #chennairainshelp #chennairains;"671840754554159104";https://twitter.com/sreeni94/status/671840754554159104
oscar_suites;2015-12-02 05:27;0;0;"#chennairains #chennai #chennaifloods";;;#chennairains #chennai #chennaifloods;"671840657611198465";https://twitter.com/oscar_suites/status/671840657611198465
sreeni94;2015-12-02 05:27;1;0;"Schools,Cinemas,Govt Build..Accommodations PL Share #ChennaiFloods #chennairainshelp #chennairains #chennaihelps https:// twitter.com/silverscreenin /status/671761813177032705 …";;;#ChennaiFloods #chennairainshelp #chennairains #chennaihelps;"671840596412116992";https://twitter.com/sreeni94/status/671840596412116992
TomSaterCNN;2015-12-02 05:27;14;1;"Dire situation with #ChennaiFloods India. Worst rains in 100 yrs. Nov. total 1,196 mm (47"). Rescues ongoing. @cnni pic.twitter.com/R6ce4HXl3f";;@cnni;#ChennaiFloods;"671840583267319808";https://twitter.com/TomSaterCNN/status/671840583267319808
sreeni94;2015-12-02 05:26;0;0;"PLease Share #ChennaiFloods #chennairainshelp #chennairains https:// twitter.com/vp_offl/status /671768602698113024 …";;;#ChennaiFloods #chennairainshelp #chennairains;"671840311476285440";https://twitter.com/sreeni94/status/671840311476285440
sreeni94;2015-12-02 05:26;0;0;"PLease Share #ChennaiFloods #chennairainshelp #chennairains https:// twitter.com/Hari24_Rg/stat us/671824886998810624 …";;;#ChennaiFloods #chennairainshelp #chennairains;"671840230110978049";https://twitter.com/sreeni94/status/671840230110978049
boazbchacko;2015-12-02 05:25;0;0;"#ChennaiFloods , Army Helpline - 98402 95100. ( Thiruvanmiyur a Good Samaritan can accommodate 2 people -99944 76633 ) Please Retweet.";;;#ChennaiFloods;"671840151245602817";https://twitter.com/boazbchacko/status/671840151245602817
sreeni94;2015-12-02 05:25;0;0;"PLease Share #ChennaiFloods #chennairainshelp #chennairains https:// twitter.com/rahulchaitu/st atus/671831744429953024 …";;;#ChennaiFloods #chennairainshelp #chennairains;"671840085516484608";https://twitter.com/sreeni94/status/671840085516484608
